#Dataset: Monthly information aggregated on IPCC reference regions for CMIP5/6 and CORDEX
#Reference: https://doi.org/10.5194/essd-12-2959-2020
#Project: CORDEX-SAM
#Experiment: historical
#Model: CSIRO-QCCCE-CSIRO-Mk3-6-0_r1i1p1_SMHI-RCA4_v3
#Variable: pr
#Variable_longname: mean daily precipitation
#Units: mm/day
#Time_frequency: month
#Feature_type: regional mean time series
#Regions: IPCC-WGI-reference-regions-v4
#Area: sea only
#Spatial_resolution: 0.5 degrees
#Interpolation_method: cdo remapcon
#Creation_Date: 2021-03-15
"date","SCA","NWS","NSA","NES","SAM","SWS","SES","SSA","full_domain"
"1993-06",6.939,2.582,2.778,1.333,NA,1.869,1.256,2.387,2.661
"1993-07",9.171,3.378,2.638,0.501,NA,1.833,0.688,2.43,2.786
"1993-08",8.608,4.025,1.821,0.406,NA,1.494,1.587,2.06,2.62
"1993-09",6.09,3.854,0.63,0.395,NA,1.37,1.132,2.053,2.357
"1993-10",12.852,3.033,0.644,0.205,NA,0.88,2.028,1.563,2.494
"1993-11",8.369,3.568,1.23,0.258,NA,0.82,2.513,1.619,2.295
"1993-12",5.183,4.486,3.875,0.917,NA,0.271,3.546,1.531,2.241
"1994-01",3.428,3.982,3.716,1.103,NA,0.489,2.917,1.726,2.163
"1994-02",3.139,6.156,2.627,1.555,NA,0.693,2.145,2.075,2.316
"1994-03",4.193,7.087,2.379,2.641,NA,0.361,2.562,1.676,2.367
"1994-04",3.282,5.783,1.983,2.751,NA,0.752,2.11,2.113,2.469
"1994-05",7.972,2.852,3.472,2.379,NA,2.052,1.781,2.84,2.784
"1994-06",7.165,2.201,3.23,1.737,NA,1.014,1.22,2.154,2.721
"1994-07",10.211,3.533,4.677,0.673,NA,1.873,1.356,2.241,2.853
"1994-08",8.114,3.237,2.117,0.413,NA,1.077,0.799,1.987,2.438
"1994-09",8.286,3.2,0.815,0.334,NA,0.847,0.805,1.935,2.207
"1994-10",7.209,3.957,0.358,0.15,NA,0.786,1.889,1.472,2.378
"1994-11",8.259,3.312,2.191,0.299,NA,0.485,3.382,1.436,2.476
"1994-12",4.618,4.799,4.2,0.789,NA,0.196,3.054,1.69,2.286
"1995-01",3.067,7.174,2.912,0.775,NA,0.282,3.992,1.782,2.33
"1995-02",2.935,8.519,2.86,2.829,NA,0.34,2.168,2.239,2.393
